date,25,50,100,150,200,250,300,350,400,450,500,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,hap(y2-y1),hap(raw),avg,grade
2017-11-12,415,295,190,132,109,96,83,77,70,66,64,53.76,38.21,24.61,17.1,14.12,12.44,10.75,9.97,9.07,8.55,8.29,209696.65999999983,4181167.850000002,271.9801037613487,4
2017-11-15,512,399,299,245,197,169,150,128,120,98,89,66.32,51.68,38.73,31.74,25.52,21.89,19.43,16.58,15.54,12.69,11.53,153848.7999999998,4544630.489999998,199.54448767833958,4
2017-11-16,194,166,125,101,85,72,64,57,51,46,46,25.13,21.5,16.19,13.08,11.01,9.33,8.29,7.38,6.61,5.96,5.96,124173.88000000005,4208948.859999996,161.05561608300914,3
2017-12-13,248,162,124,97,77,68,62,56,52,49,48,32.12,20.98,16.06,12.56,9.97,8.81,8.03,7.25,6.74,6.35,6.22,246765.46000000008,4147998.779999996,320.05896238651115,4
2017-12-27,250,178,137,109,87,71,64,59,51,47,40,32.38,23.06,17.75,14.12,11.27,9.2,8.29,7.64,6.61,6.09,5.18,133235.84999999998,4314917.380000005,172.80914396887155,4
2017-12-28,468,345,204,148,116,82,62,48,39,33,28,60.62,44.69,26.42,19.17,15.03,10.62,8.03,6.22,5.05,4.27,3.63,81600.41000000008,4403634.009999997,105.83710765239958,4
2018-01-03,374,273,196,152,125,110,93,78,66,60,56,48.45,35.36,25.39,19.69,16.19,14.25,12.05,10.1,8.55,7.77,7.25,191804.41,5030789.89,248.77355382619976,4
2018-01-05,449,315,217,153,122,96,79,68,56,51,42,58.16,40.8,28.11,19.82,15.8,12.44,10.23,8.81,7.25,6.61,5.44,92030.10000000012,4055546.49,119.36459143968888,3
2018-01-06,272,191,133,115,106,100,87,79,67,63,58,35.23,24.74,17.23,14.9,13.73,12.95,11.27,10.23,8.68,8.16,7.51,160046.22000000003,4135452.5900000012,207.58264591439692,4
2018-01-07,469,334,232,169,136,110,85,77,69,62,52,60.75,43.26,30.05,21.89,17.62,14.25,11.01,9.97,8.94,8.03,6.74,169531.34999999977,5003028.029999999,219.88501945525263,4
2018-02-08,210,187,140,114,91,82,75,67,58,49,45,27.2,24.22,18.13,14.77,11.79,10.62,9.72,8.68,7.51,6.35,5.83,68565.93999999997,4211154.400000001,88.93118028534367,3
2018-02-16,371,259,176,140,109,96,78,70,63,54,49,48.06,33.55,22.8,18.13,14.12,12.44,10.1,9.07,8.16,6.99,6.35,126523.9900000001,4451164.2600000035,164.10374837872905,4
